[بسم, 115]
 [الله, 2265]
 [الرحمن, 157]
 [الرحيم, 146]
 [الحمد, 26]
 [لله, 116]
 [رب, 130]
 [العالمين, 61]
 [مالك, 3]
 [يوم, 217]
 [الدين, 47]
 [إياك, 1]
 [نعبد, 6]
 [وإياك, 1]
 [نستعين, 1]
 [اهدنا, 1]
 [الصراط, 6]
 [المستقيم, 5]
 [صراط, 32]
 [الذين, 810]
 [أنعمت, 7]
 [عليهم, 214]
 [غير, 69]
 [المغضوب, 1]
 [ولا, 658]
 [الضالين, 6]
 [الم, 6]
 [ذلك, 280]
 [الكتاب, 163]
 [لا, 812]
 [ريب, 17]
 [ۛ, 12]
 [فيه, 127]
 [هدى, 38]
 [للمتقين, 18]
 [يؤمنون, 86]
 [بالغيب, 12]
 [ويقيمون, 2]
 [الصلاة, 58]
 [ومما, 11]
 [رزقناهم, 10]
 [ينفقون, 20]
 [والذين, 164]
 [بما, 296]
 [أنزل, 95]
 [إليك, 77]
 [وما, 646]
 [من, 2763]
 [قبلك, 33]
 [وبالآخرة, 1]
 [هم, 261]
 [يوقنون, 11]
 [أولئك, 133]
 [على, 670]
 [ربهم, 111]
 [ۖ, 1682]
 [وأولئك, 25]
 [المفلحون, 12]
 [إن, 966]
 [كفروا, 189]
 [سواء, 26]
 [أأنذرتهم, 2]
 [أم, 131]
 [لم, 178]
 [تنذرهم, 2]
 [ختم, 1]
 [قلوبهم, 65]
 [وعلى, 39]
 [سمعهم, 3]
 [أبصارهم, 9]
 [غشاوة, 2]
 [ولهم, 43]
 [عذاب, 150]
 [عظيم, 49]
 [ومن, 342]
 [الناس, 182]
 [يقول, 39]
 [آمنا, 37]
 [بالله, 139]
 [وباليوم, 1]
 [الآخر, 29]
 [بمؤمنين, 6]
 [يخادعون, 2]
 [آمنوا, 263]
 [يخدعون, 1]
 [إلا, 664]
 [أنفسهم, 72]
 [يشعرون, 21]
 [في, 1185]
 [مرض, 12]
 [فزادهم, 2]
 [مرضا, 1]
 [أليم, 52]
 [كانوا, 229]
 [يكذبون, 6]
 [وإذا, 134]
 [قيل, 34]
 [لهم, 373]
 [تفسدوا, 4]
 [الأرض, 287]
 [قالوا, 250]
 [إنما, 113]
 [نحن, 65]
 [مصلحون, 2]
 [ألا, 99]
 [إنهم, 63]
 [المفسدون, 1]
 [ولكن, 112]
 [كما, 59]
 [آمن, 27]
 [أنؤمن, 3]
 [السفهاء, 5]
 [ۗ, 603]
 [يعلمون, 82]
 [لقوا, 2]
 [خلوا, 7]
 [إلى, 405]
 [شياطينهم, 1]
 [إنا, 156]
 [معكم, 26]
 [مستهزئون, 1]
 [يستهزئ, 1]
 [بهم, 41]
 [ويمدهم, 1]
 [طغيانهم, 5]
 [يعمهون, 7]
 [اشتروا, 6]
 [الضلالة, 6]
 [بالهدى, 7]
 [فما, 86]
 [ربحت, 1]
 [تجارتهم, 1]
 [مهتدين, 3]
 [مثلهم, 5]
 [كمثل, 13]
 [الذي, 268]
 [استوقد, 1]
 [نارا, 19]
 [فلما, 101]
 [أضاءت, 1]
 [ما, 1013]
 [حوله, 5]
 [ذهب, 11]
 [بنورهم, 1]
 [وتركهم, 1]
 [ظلمات, 8]
 [يبصرون, 11]
 [صم, 3]
 [بكم, 37]
 [عمي, 3]
 [فهم, 41]
 [يرجعون, 22]
 [أو, 280]
 [كصيب, 1]
 [السماء, 109]
 [ورعد, 1]
 [وبرق, 1]
 [يجعلون, 2]
 [أصابعهم, 2]
 [آذانهم, 7]
 [الصواعق, 2]
 [حذر, 2]
 [الموت, 35]
 [ۚ, 1972]
 [والله, 240]
 [محيط, 7]
 [بالكافرين, 3]
 [يكاد, 6]
 [البرق, 3]
 [يخطف, 1]
 [كلما, 12]
 [أضاء, 1]
 [مشوا, 1]
 [أظلم, 17]
 [قاموا, 4]
 [ولو, 111]
 [شاء, 56]
 [لذهب, 2]
 [بسمعهم, 1]
 [وأبصارهم, 4]
 [كل, 245]
 [شيء, 190]
 [قدير, 37]
 [يا, 350]
 [أيها, 150]
 [اعبدوا, 17]
 [ربكم, 102]
 [خلقكم, 18]
 [قبلكم, 18]
 [لعلكم, 59]
 [تتقون, 19]
 [جعل, 45]
 [لكم, 337]
 [فراشا, 1]
 [والسماء, 9]
 [بناء, 3]
 [وأنزل, 12]
 [ماء, 35]
 [فأخرج, 3]
 [به, 327]
 [الثمرات, 11]
 [رزقا, 15]
 [فلا, 156]
 [تجعلوا, 5]
 [أندادا, 6]
 [وأنتم, 45]
 [تعلمون, 56]
 [وإن, 254]
 [كنتم, 188]
 [مما, 111]
 [نزلنا, 6]
 [عبدنا, 6]
 [فأتوا, 10]
 [بسورة, 2]
 [مثله, 11]
 [وادعوا, 4]
 [شهداءكم, 2]
 [دون, 91]
 [صادقين, 31]
 [فإن, 168]
 [تفعلوا, 9]
 [ولن, 22]
 [فاتقوا, 17]
 [النار, 102]
 [التي, 57]
 [وقودها, 2]
 [والحجارة, 2]
 [أعدت, 4]
 [للكافرين, 23]
 [وبشر, 11]
 [وعملوا, 53]
 [الصالحات, 61]
 [أن, 638]
 [جنات, 62]
 [تجري, 48]
 [تحتها, 36]
 [الأنهار, 43]
 [رزقوا, 1]
 [منها, 86]
 [ثمرة, 1]
 [ۙ, 68]
 [هذا, 190]
 [رزقنا, 1]
 [قبل, 118]
 [وأتوا, 2]
 [متشابها, 3]
 [فيها, 241]
 [أزواج, 7]
 [مطهرة, 5]
 [وهم, 137]
 [خالدون, 24]
 [۞, 199]
 [يستحيي, 2]
 [يضرب, 4]
 [مثلا, 20]
 [بعوضة, 1]
 [فوقها, 3]
 [فأما, 22]
 [فيعلمون, 1]
 [أنه, 23]
 [الحق, 109]
 [وأما, 28]
 [فيقولون, 1]
 [ماذا, 22]
 [أراد, 18]
 [بهذا, 14]
 [ۘ, 22]
 [يضل, 17]
 [كثيرا, 46]
 [ويهدي, 9]
 [الفاسقين, 11]
 [ينقضون, 4]
 [عهد, 8]
 [بعد, 149]
 [ميثاقه, 2]
 [ويقطعون, 2]
 [أمر, 41]
 [يوصل, 3]
 [ويفسدون, 2]
 [الخاسرون, 11]
 [كيف, 62]
 [تكفرون, 12]
 [وكنتم, 8]
 [أمواتا, 2]
 [فأحياكم, 1]
 [ثم, 340]
 [يميتكم, 4]
 [يحييكم, 5]
 [إليه, 76]
 [ترجعون, 19]
 [هو, 265]
 [خلق, 83]
 [جميعا, 49]
